player_name,mfl_player_id,year,position,positional_rank
Saquon Barkley,13604,2020,RB,2
Josh Rosen,13591,2020,QB,45
Rashaad Penny,13608,2020,RB,55
Sam Darnold,13592,2020,QB,25
Derrius Guice,13605,2020,RB,31
Ronald Jones,13606,2020,RB,40
Royce Freeman,13617,2020,RB,66
Sony Michel,13607,2020,RB,30
Christian Kirk,13633,2020,WR,39
Calvin Ridley,13629,2020,WR,18
D.J. Moore,13635,2020,WR,13
Baker Mayfield,13590,2020,QB,15
Hayden Hurst,13680,2020,TE,14
Josh Allen,13589,2020,QB,7
Courtland Sutton,13630,2020,WR,17
Nick Chubb,13610,2020,RB,8
Lamar Jackson,13593,2020,QB,1
Kerryon Johnson,13612,2020,RB,38
Mike Gesicki,13672,2020,TE,13
Anthony Miller,13639,2020,WR,45
Dante Pettis,13634,2020,WR,118
Michael Gallup,13646,2020,WR,33
James Washington,13631,2020,WR,65
Jordan Wilkins,13789,2020,RB,88
Chase Edmonds,13726,2020,RB,54
D.J. Chark,13668,2020,WR,24
Dallas Goedert,13674,2020,TE,16
Mason Rudolph,13595,2020,QB,50
Tre'Quan Smith,13645,2020,WR,84
Kalen Ballage,13621,2020,RB,100
Equanimeous St. Brown,13637,2020,WR,166
Nyheim Hines,13622,2020,RB,51
Bo Scarbrough,13615,2020,RB,97
John Kelly,13619,2020,RB,137
Keke Coutee,13662,2020,WR,108
DaeSean Hamilton,13649,2020,WR,106
Saquon Barkley,13604,2021,RB,5
Josh Rosen,13591,2021,QB,999
Rashaad Penny,13608,2021,RB,53
Sam Darnold,13592,2021,QB,25
Derrius Guice,13605,2021,RB,999
Ronald Jones,13606,2021,RB,30
Royce Freeman,13617,2021,RB,103
Sony Michel,13607,2021,RB,55
Christian Kirk,13633,2021,WR,62
Calvin Ridley,13629,2021,WR,5
D.J. Moore,13635,2021,WR,19
Baker Mayfield,13590,2021,QB,18
Hayden Hurst,13680,2021,TE,26
Josh Allen,13589,2021,QB,2
Courtland Sutton,13630,2021,WR,29
Nick Chubb,13610,2021,RB,8
Lamar Jackson,13593,2021,QB,4
Kerryon Johnson,13612,2021,RB,74
Mike Gesicki,13672,2021,TE,11
Anthony Miller,13639,2021,WR,85
Dante Pettis,13634,2021,WR,999
Michael Gallup,13646,2021,WR,46
James Washington,13631,2021,WR,89
Jordan Wilkins,13789,2021,RB,96
Chase Edmonds,13726,2021,RB,26
D.J. Chark,13668,2021,WR,30
Dallas Goedert,13674,2021,TE,7
Mason Rudolph,13595,2021,QB,51
Tre'Quan Smith,13645,2021,WR,73
Kalen Ballage,13621,2021,RB,89
Equanimeous St. Brown,13637,2021,WR,167
Nyheim Hines,13622,2021,RB,43
Bo Scarbrough,13615,2021,RB,154
John Kelly,13619,2021,RB,166
Keke Coutee,13662,2021,WR,95
DaeSean Hamilton,13649,2021,WR,183
Saquon Barkley,13604,2023,RB,5
Josh Rosen,13591,2023,QB,999
Rashaad Penny,13608,2023,RB,35
Sam Darnold,13592,2023,QB,36
Derrius Guice,13605,2023,RB,999
Ronald Jones,13606,2023,RB,85
Royce Freeman,13617,2023,RB,138
Sony Michel,13607,2023,RB,129
Christian Kirk,13633,2023,WR,31
Calvin Ridley,13629,2023,WR,24
D.J. Moore,13635,2023,WR,19
Baker Mayfield,13590,2023,QB,33
Hayden Hurst,13680,2023,TE,25
Josh Allen,13589,2023,QB,2
Courtland Sutton,13630,2023,WR,40
Nick Chubb,13610,2023,RB,6
Lamar Jackson,13593,2023,QB,4
Kerryon Johnson,13612,2023,RB,999
Mike Gesicki,13672,2023,TE,19
Anthony Miller,13639,2023,WR,999
Dante Pettis,13634,2023,WR,162
Michael Gallup,13646,2023,WR,63
James Washington,13631,2023,WR,999
Jordan Wilkins,13789,2023,RB,999
Chase Edmonds,13726,2023,RB,63
D.J. Chark,13668,2023,WR,59
Dallas Goedert,13674,2023,TE,6
Mason Rudolph,13595,2023,QB,77
Tre'Quan Smith,13645,2023,WR,143
Kalen Ballage,13621,2023,RB,999
Equanimeous St. Brown,13637,2023,WR,161
Nyheim Hines,13622,2023,RB,73
Bo Scarbrough,13615,2023,RB,999
John Kelly,13619,2023,RB,999
Keke Coutee,13662,2023,WR,999
DaeSean Hamilton,13649,2023,WR,999
Saquon Barkley,13604,2022,RB,15
Josh Rosen,13591,2022,QB,999
Rashaad Penny,13608,2022,RB,35
Sam Darnold,13592,2022,QB,35
Derrius Guice,13605,2022,RB,999
Ronald Jones,13606,2022,RB,39
Royce Freeman,13617,2022,RB,999
Sony Michel,13607,2022,RB,46
Christian Kirk,13633,2022,WR,43
Calvin Ridley,13629,2022,WR,999
D.J. Moore,13635,2022,WR,15
Baker Mayfield,13590,2022,QB,33
Hayden Hurst,13680,2022,TE,28
Josh Allen,13589,2022,QB,1
Courtland Sutton,13630,2022,WR,24
Nick Chubb,13610,2022,RB,8
Lamar Jackson,13593,2022,QB,4
Kerryon Johnson,13612,2022,RB,999
Mike Gesicki,13672,2022,TE,12
Anthony Miller,13639,2022,WR,151
Dante Pettis,13634,2022,WR,999
Michael Gallup,13646,2022,WR,47
James Washington,13631,2022,WR,119
Jordan Wilkins,13789,2022,RB,999
Chase Edmonds,13726,2022,RB,29
D.J. Chark,13668,2022,WR,56
Dallas Goedert,13674,2022,TE,7
Mason Rudolph,13595,2022,QB,999
Tre'Quan Smith,13645,2022,WR,88
Kalen Ballage,13621,2022,RB,121
Equanimeous St. Brown,13637,2022,WR,135
Nyheim Hines,13622,2022,RB,47
Bo Scarbrough,13615,2022,RB,999
John Kelly,13619,2022,RB,999
Keke Coutee,13662,2022,WR,999
DaeSean Hamilton,13649,2022,WR,999
Saquon Barkley,13604,2019,RB,1
Josh Rosen,13591,2019,QB,27
Rashaad Penny,13608,2019,RB,25
Sam Darnold,13592,2019,QB,18
